"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Dec-2023","EQ","1,383.55","1,408.85","1,347.30","1,374.50","1,356.50","1,359.05","1,372.91","1,408.85","410.40","42,72,025","5,86,51,19,803.15","1,31,739"
"26-Dec-2023","EQ","1,307.75","1,390.00","1,292.65","1,301.40","1,374.00","1,374.50","1,356.22","1,390.00","410.40","59,90,264","8,12,41,39,173.75","1,79,558"
"22-Dec-2023","EQ","1,310.00","1,315.00","1,281.50","1,300.40","1,298.00","1,301.40","1,299.47","1,337.45","410.40","17,13,384","2,22,64,97,578.30","59,782"
"21-Dec-2023","EQ","1,236.00","1,316.75","1,225.10","1,224.65","1,302.00","1,300.40","1,278.10","1,337.45","410.40","54,17,925","6,92,46,28,087.10","1,69,338"
"20-Dec-2023","EQ","1,314.70","1,324.50","1,200.00","1,307.90","1,228.00","1,224.65","1,270.08","1,337.45","410.40","30,59,021","3,88,51,87,962.40","1,08,359"
"19-Dec-2023","EQ","1,277.00","1,337.45","1,272.00","1,270.40","1,309.00","1,307.90","1,315.26","1,337.45","410.40","59,89,210","7,87,73,88,222.65","1,55,973"
"18-Dec-2023","EQ","1,267.65","1,288.00","1,265.00","1,257.90","1,273.00","1,270.40","1,275.72","1,328.40","410.40","15,13,766","1,93,11,39,482.75","49,062"
"15-Dec-2023","EQ","1,255.90","1,273.50","1,250.55","1,247.05","1,257.55","1,257.90","1,260.50","1,328.40","410.40","11,50,336","1,44,99,98,288.25","37,488"
"14-Dec-2023","EQ","1,282.45","1,290.20","1,242.00","1,274.60","1,252.00","1,247.05","1,267.09","1,328.40","410.40","21,91,290","2,77,65,60,834.80","59,842"
"13-Dec-2023","EQ","1,257.10","1,277.65","1,233.15","1,251.55","1,272.00","1,274.60","1,261.16","1,328.40","410.40","14,44,557","1,82,18,19,534.15","47,008"
"12-Dec-2023","EQ","1,286.00","1,290.75","1,246.00","1,278.85","1,255.00","1,251.55","1,260.67","1,328.40","410.40","13,72,581","1,73,03,67,816.25","44,564"
"11-Dec-2023","EQ","1,272.15","1,292.35","1,266.05","1,265.00","1,282.00","1,278.85","1,279.17","1,328.40","410.40","14,70,479","1,88,09,98,740.80","42,828"
"08-Dec-2023","EQ","1,288.00","1,328.40","1,236.60","1,281.60","1,261.95","1,265.00","1,284.71","1,328.40","410.40","32,67,722","4,19,80,69,837.50","94,871"
"07-Dec-2023","EQ","1,295.00","1,312.70","1,271.00","1,279.95","1,280.00","1,281.60","1,289.64","1,312.70","410.40","36,69,269","4,73,20,44,379.80","92,038"
"06-Dec-2023","EQ","1,187.00","1,294.40","1,174.10","1,181.35","1,280.00","1,279.95","1,246.18","1,294.40","410.40","87,62,197","10,91,92,55,012.05","1,98,585"
"05-Dec-2023","EQ","1,189.00","1,219.00","1,173.20","1,188.65","1,183.90","1,181.35","1,191.66","1,258.50","410.40","21,58,598","2,57,23,25,392.60","65,665"
"04-Dec-2023","EQ","1,225.00","1,228.55","1,180.50","1,167.00","1,189.00","1,188.65","1,193.98","1,258.50","410.40","19,71,915","2,35,44,30,029.85","51,407"
